comparison,metric,delta_2026,delta_2027,delta_2028,mean_delta,sample_std,sign_consistency
C1_minus_C0,S_balanced,0.0187472403049469,0.09606986244519555,0.07304233312606812,0.06261981195873685,0.03970099097344446,all_positive
C1_minus_C0,IID,0.07276558876037598,0.14214664697647095,0.18357205390930176,0.13282809654871622,0.05598789794460926,all_positive
C1_minus_C0,Composition_OOD,-0.012464135885238647,0.06954273581504822,0.0794331431388855,0.04550391435623169,0.050444783435515665,mixed
C1_minus_C0,Depth_OOD,0.00038683414459228516,0.07652020454406738,-0.04387819766998291,0.011009613672892252,0.06089808205193501,mixed
C1_minus_C0,State_OOD,0.0734483003616333,0.14012503623962402,0.15188205242156982,0.12181846300760905,0.04230025216442858,all_positive
C1_minus_C0,Parameter_OOD,0.012509047985076904,0.010475337505340576,-0.06832963228225708,-0.015115082263946533,0.046096369106658534,mixed
C2_minus_C1,S_balanced,-0.0018708308537801477,-0.026407887538274166,-0.009917348623275757,-0.012732022338443357,0.012508340368596455,all_negative
C2_minus_C1,Composition_OOD,0.003605365753173828,0.012509554624557495,0.024539798498153687,0.013551572958628336,0.010506044462352425,all_positive
C2_minus_C1,Depth_OOD,0.07260870933532715,-0.014971017837524414,0.022864162921905518,0.026833951473236084,0.04392461233493683,mixed
C2_minus_C1,IID,-0.08182656764984131,-0.07676219940185547,-0.07715600728988647,-0.07858159144719441,0.0028171215948157684,all_negative
C3_minus_C1,S_balanced,-0.011290431022644043,-0.01598576704661059,-0.0073239803314208984,-0.011533392800225176,0.004336001625216853,all_negative
C3_minus_C1,Composition_OOD,-0.0092620849609375,-0.018868207931518555,0.02641594409942627,-0.0005714495976765951,0.023860196217829012,mixed
C3_minus_C1,Depth_OOD,0.005419611930847168,-0.007701694965362549,-0.016611754894256592,-0.006297945976257324,0.011082561277244583,mixed
C3_minus_C1,IID,-0.030028820037841797,-0.02138739824295044,-0.03177613019943237,-0.027730782826741535,0.005562568577879138,all_negative
C2_minus_C0,S_balanced,0.01687640945116675,0.06966197490692139,0.06312498450279236,0.0498877896202935,0.028774927912835504,all_positive
C2_minus_C0,IID,-0.009060978889465332,0.06538444757461548,0.10641604661941528,0.05424650510152181,0.058538672490885235,mixed
C2_minus_C0,Composition_OOD,-0.00885877013206482,0.08205229043960571,0.10397294163703918,0.059055487314860024,0.05982799102974523,mixed
C2_minus_C0,Depth_OOD,0.07299554347991943,0.06154918670654297,-0.021014034748077393,0.037843565146128334,0.05129247088828593,mixed
C2_minus_C0,State_OOD,-0.01013493537902832,0.04480552673339844,0.06357377767562866,0.032748123009999595,0.03830508234497368,mixed
C2_minus_C0,Parameter_OOD,-0.04236871004104614,-0.05736953020095825,-0.16348981857299805,-0.08774268627166748,0.06602633709569208,all_negative
C3_minus_C0,S_balanced,0.0074568092823028564,0.08008409539858496,0.06571835279464722,0.05108641915851168,0.03846102941424322,all_positive
C3_minus_C0,IID,0.04273676872253418,0.12075924873352051,0.15179592370986938,0.10509731372197469,0.05619116458899311,all_positive
C3_minus_C0,Composition_OOD,-0.021726220846176147,0.05067452788352966,0.10584908723831177,0.04493246475855509,0.06398119469743743,mixed
C3_minus_C0,Depth_OOD,0.005806446075439453,0.06881850957870483,-0.0604899525642395,0.004711667696634929,0.0646611823292564,mixed
C3_minus_C0,State_OOD,0.0766369104385376,0.1371605396270752,0.13039708137512207,0.11473151048024495,0.03316376043416542,all_positive
C3_minus_C0,Parameter_OOD,0.05288189649581909,-0.11048310995101929,-0.07248973846435547,-0.04336365063985189,0.08548846750769608,mixed
