variant,seed,source_phase,supervision_class,parameter_count,best_checkpoint_step,S_balanced,IID,State_OOD,Parameter_OOD,Composition_OOD,Depth_OOD,action_fidelity,process_fidelity,phase_aligned_frobenius_error,unitarity_error,raw_action_norm,runtime_seconds,samples_per_second,config_hash,dataset_hash,metric_hash
C0,2026,P4.6_B3_anchor,ACTION_ONLY,1073312,8500,0.5904355843861898,0.7455130815505981,0.651012659072876,0.6298770308494568,0.49441736936569214,0.5269297361373901,0.7455130815505981,0.6231274008750916,0.5486116409301758,2.700594450288918e-07,1.0,326.62818033399526,31350.63235979528,7b3cab2a289118d925bf8c9ec36754458532fb28ce10e5f081a0e3c744f6818b,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,b77e5695205ec2fed3f7bfec69174cde8ba5a9b43c9a87efc82147c603d10352
C0,2027,P4.7_confirmatory,ACTION_ONLY,1073312,8500,0.5428731441497803,0.6930590867996216,0.6071045398712158,0.684705913066864,0.4185163974761963,0.517043948173523,0.6930590867996216,0.5677785873413086,0.6168261766433716,2.69278530140582e-07,1.0,328.9659402469406,31127.84257334748,7b3cab2a289118d925bf8c9ec36754458532fb28ce10e5f081a0e3c744f6818b,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,013e87f49935305bdc4bea56724ea01c3554c0ff28367d673b0affb81aec0d8f
C0,2028,P4.7_confirmatory,ACTION_ONLY,1073312,7000,0.5340269406636556,0.627144992351532,0.5709086656570435,0.7352614402770996,0.3840782046318054,0.5908576250076294,0.627144992351532,0.5645095705986023,0.623870313167572,2.7517697276380204e-07,1.0,325.8137330909958,31429.00056069795,7b3cab2a289118d925bf8c9ec36754458532fb28ce10e5f081a0e3c744f6818b,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,861f7cc0f3282e25ac09c26b211c58c125d5b70e46178575f30c2db0e9e83f11
C1,2026,P4.7_screening,ACTION_ONLY,1063124,6000,0.6091828246911367,0.8182786703109741,0.7244609594345093,0.6423860788345337,0.4819532334804535,0.5273165702819824,0.8182786703109741,0.683417797088623,0.5215482115745544,2.4230834583249816e-07,1.0,720.2299311199458,14217.681822910312,b48b3b66b7c742069a58679bc9856e060208a5e0011a75486ee3d09117b80d3e,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,669de45ebeeecc3e6d5116249f5dcf2ff6ee91d6c8e846ab9d76a4f15c00662c
C1,2027,P4.7_confirmatory,ACTION_ONLY,1063124,8000,0.6389430065949758,0.8352057337760925,0.7472295761108398,0.6951812505722046,0.4880591332912445,0.5935641527175903,0.8352057337760925,0.6988905668258667,0.500956654548645,2.612971172766265e-07,1.0,701.9968248439254,14586.96056392656,b48b3b66b7c742069a58679bc9856e060208a5e0011a75486ee3d09117b80d3e,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,14b90e1f66846eb92db5349d58a2725cc20041267b05e11ccaa43148cf5b447a
C1,2028,P4.7_confirmatory,ACTION_ONLY,1063124,3000,0.6070692737897238,0.8107170462608337,0.7227907180786133,0.6669318079948425,0.4635113477706909,0.5469794273376465,0.8107170462608337,0.67095947265625,0.544009804725647,2.394545504103007e-07,1.0,700.6221673759865,14615.580946220247,b48b3b66b7c742069a58679bc9856e060208a5e0011a75486ee3d09117b80d3e,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,d499f00569299d0e320435a21ee60aa087f0c99ed75ff12927261ad48f437de2
C2,2026,P4.7_screening,ACTION_ONLY_PLUS_SELF_CONSISTENCY,1063124,10000,0.6073119938373566,0.7364521026611328,0.6408777236938477,0.5875083208084106,0.4855585992336273,0.5999252796173096,0.7364521026611328,0.6109240055084229,0.5942980647087097,2.44574721364188e-07,0.9999999403953552,2396.8092949650018,4272.346582396546,eb4174faa48b85548cd6864204e28c65ce2b361bd3d0d441065a571d25156bd3,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,76b660f8979e4811c5ef10a12a8bdb862579abb5108f94f0a4e402bc783df775
C2,2027,P4.7_confirmatory,ACTION_ONLY_PLUS_SELF_CONSISTENCY,1063124,9000,0.6125351190567017,0.7584435343742371,0.6519100666046143,0.6273363828659058,0.500568687915802,0.5785931348800659,0.7584435343742371,0.6184707880020142,0.5887125134468079,2.4974420398393704e-07,1.0,2319.412055804045,4414.91194907591,eb4174faa48b85548cd6864204e28c65ce2b361bd3d0d441065a571d25156bd3,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,e27dae1f2cabbda24f063337f1d3a0ca10ed805b2e5047b8dba7723612b9662f
C2,2028,P4.7_confirmatory,ACTION_ONLY_PLUS_SELF_CONSISTENCY,1063124,7000,0.597151925166448,0.7335610389709473,0.6344824433326721,0.5717716217041016,0.4880511462688446,0.569843590259552,0.7335610389709473,0.6058813333511353,0.6028344035148621,2.649250632202893e-07,1.0,2316.489540328039,4420.481863496741,eb4174faa48b85548cd6864204e28c65ce2b361bd3d0d441065a571d25156bd3,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,612011a6c2793cb33357111eae59b8d284da2c789cc65ab46e288754ba3d4f89
C3,2026,P4.7_screening,PRIVILEGED_PREFIX_ACTION_SUPERVISION,1063124,8000,0.5978923936684927,0.7882498502731323,0.7276495695114136,0.6827589273452759,0.472691148519516,0.5327361822128296,0.7882498502731323,0.6812102794647217,0.5101379752159119,2.5400072445336264e-07,1.0,1579.938157572993,6481.2663400256615,8aa758b9e3967afad3df387b3bcffe14a4500fa9fa6c9266694639d3c87b1a15,67a25b4384825dc477b22cbfc6f13bfc1424a95474cc8bcbc002c4ff010bf009,f7f12eff573b9c3045256f9a216023cb4e0c377e069daf02a154e5f17765a9c0
