best_classical_backend,graph_family,memory_lower_than_classical,n_qubits,neural_latency_budget_ms,neural_peak_memory_budget_mib,p,shots,speedup,speedup_ge_10x,speedup_ge_2x,speedup_ge_5x
statevector,cycle,True,6,10,256,1,4096,2.1356334,False,True,False
statevector,cycle,False,6,10,512,1,4096,2.1356334,False,True,False
statevector,cycle,False,6,10,1024,1,4096,2.1356334,False,True,False
statevector,cycle,False,6,10,2048,1,4096,2.1356334,False,True,False
statevector,cycle,False,6,10,4096,1,4096,2.1356334,False,True,False
statevector,cycle,True,6,25,256,1,4096,0.85425336,False,False,False
statevector,cycle,False,6,25,512,1,4096,0.85425336,False,False,False
statevector,cycle,False,6,25,1024,1,4096,0.85425336,False,False,False
statevector,cycle,False,6,25,2048,1,4096,0.85425336,False,False,False
statevector,cycle,False,6,25,4096,1,4096,0.85425336,False,False,False
statevector,cycle,True,6,50,256,1,4096,0.42712668,False,False,False
statevector,cycle,False,6,50,512,1,4096,0.42712668,False,False,False
statevector,cycle,False,6,50,1024,1,4096,0.42712668,False,False,False
statevector,cycle,False,6,50,2048,1,4096,0.42712668,False,False,False
statevector,cycle,False,6,50,4096,1,4096,0.42712668,False,False,False
statevector,cycle,True,6,100,256,1,4096,0.21356334,False,False,False
statevector,cycle,False,6,100,512,1,4096,0.21356334,False,False,False
statevector,cycle,False,6,100,1024,1,4096,0.21356334,False,False,False
statevector,cycle,False,6,100,2048,1,4096,0.21356334,False,False,False
statevector,cycle,False,6,100,4096,1,4096,0.21356334,False,False,False
statevector,cycle,True,6,250,256,1,4096,0.085425336,False,False,False
statevector,cycle,False,6,250,512,1,4096,0.085425336,False,False,False
statevector,cycle,False,6,250,1024,1,4096,0.085425336,False,False,False
statevector,cycle,False,6,250,2048,1,4096,0.085425336,False,False,False
statevector,cycle,False,6,250,4096,1,4096,0.085425336,False,False,False
statevector,cycle,True,6,500,256,1,4096,0.042712668,False,False,False
statevector,cycle,False,6,500,512,1,4096,0.042712668,False,False,False
statevector,cycle,False,6,500,1024,1,4096,0.042712668,False,False,False
statevector,cycle,False,6,500,2048,1,4096,0.042712668,False,False,False
statevector,cycle,False,6,500,4096,1,4096,0.042712668,False,False,False
statevector,cycle,True,6,10,256,2,4096,2.17844995,False,True,False
statevector,cycle,False,6,10,512,2,4096,2.17844995,False,True,False
statevector,cycle,False,6,10,1024,2,4096,2.17844995,False,True,False
statevector,cycle,False,6,10,2048,2,4096,2.17844995,False,True,False
statevector,cycle,False,6,10,4096,2,4096,2.17844995,False,True,False
statevector,cycle,True,6,25,256,2,4096,0.87137998,False,False,False
statevector,cycle,False,6,25,512,2,4096,0.87137998,False,False,False
statevector,cycle,False,6,25,1024,2,4096,0.87137998,False,False,False
statevector,cycle,False,6,25,2048,2,4096,0.87137998,False,False,False
statevector,cycle,False,6,25,4096,2,4096,0.87137998,False,False,False
statevector,cycle,True,6,50,256,2,4096,0.43568999,False,False,False
statevector,cycle,False,6,50,512,2,4096,0.43568999,False,False,False
statevector,cycle,False,6,50,1024,2,4096,0.43568999,False,False,False
statevector,cycle,False,6,50,2048,2,4096,0.43568999,False,False,False
statevector,cycle,False,6,50,4096,2,4096,0.43568999,False,False,False
statevector,cycle,True,6,100,256,2,4096,0.217844995,False,False,False
statevector,cycle,False,6,100,512,2,4096,0.217844995,False,False,False
statevector,cycle,False,6,100,1024,2,4096,0.217844995,False,False,False
statevector,cycle,False,6,100,2048,2,4096,0.217844995,False,False,False
statevector,cycle,False,6,100,4096,2,4096,0.217844995,False,False,False
statevector,cycle,True,6,250,256,2,4096,0.08713799800000001,False,False,False
statevector,cycle,False,6,250,512,2,4096,0.08713799800000001,False,False,False
statevector,cycle,False,6,250,1024,2,4096,0.08713799800000001,False,False,False
statevector,cycle,False,6,250,2048,2,4096,0.08713799800000001,False,False,False
statevector,cycle,False,6,250,4096,2,4096,0.08713799800000001,False,False,False
statevector,cycle,True,6,500,256,2,4096,0.043568999000000004,False,False,False
statevector,cycle,False,6,500,512,2,4096,0.043568999000000004,False,False,False
statevector,cycle,False,6,500,1024,2,4096,0.043568999000000004,False,False,False
statevector,cycle,False,6,500,2048,2,4096,0.043568999000000004,False,False,False
statevector,cycle,False,6,500,4096,2,4096,0.043568999000000004,False,False,False
matrix_product_state,cycle,True,6,10,256,3,4096,1.9086875499999998,False,False,False
matrix_product_state,cycle,False,6,10,512,3,4096,1.9086875499999998,False,False,False
matrix_product_state,cycle,False,6,10,1024,3,4096,1.9086875499999998,False,False,False
matrix_product_state,cycle,False,6,10,2048,3,4096,1.9086875499999998,False,False,False
matrix_product_state,cycle,False,6,10,4096,3,4096,1.9086875499999998,False,False,False
matrix_product_state,cycle,True,6,25,256,3,4096,0.7634750199999999,False,False,False
matrix_product_state,cycle,False,6,25,512,3,4096,0.7634750199999999,False,False,False
matrix_product_state,cycle,False,6,25,1024,3,4096,0.7634750199999999,False,False,False
matrix_product_state,cycle,False,6,25,2048,3,4096,0.7634750199999999,False,False,False
matrix_product_state,cycle,False,6,25,4096,3,4096,0.7634750199999999,False,False,False
matrix_product_state,cycle,True,6,50,256,3,4096,0.38173750999999995,False,False,False
matrix_product_state,cycle,False,6,50,512,3,4096,0.38173750999999995,False,False,False
matrix_product_state,cycle,False,6,50,1024,3,4096,0.38173750999999995,False,False,False
matrix_product_state,cycle,False,6,50,2048,3,4096,0.38173750999999995,False,False,False
matrix_product_state,cycle,False,6,50,4096,3,4096,0.38173750999999995,False,False,False
matrix_product_state,cycle,True,6,100,256,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,512,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,1024,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,2048,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,False,6,100,4096,3,4096,0.19086875499999997,False,False,False
matrix_product_state,cycle,True,6,250,256,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,512,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,1024,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,2048,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,False,6,250,4096,3,4096,0.076347502,False,False,False
matrix_product_state,cycle,True,6,500,256,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,512,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,1024,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,2048,3,4096,0.038173751,False,False,False
matrix_product_state,cycle,False,6,500,4096,3,4096,0.038173751,False,False,False
statevector,cycle,True,8,10,256,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,512,1,4096,2.1616457500000004,False,True,False
statevector,cycle,False,8,10,1024,1,4096,2.1616457500000004,False,True,False
