aggregate_ms,backend,baseline_rss_bytes,batch_size,circuit_hash,execute_ms,graph_family,incremental_peak_rss_bytes,initialization_ms,logical_id,n_qubits,p,package_ms,peak_rss_bytes,preprocess_ms,repetition,shots,skip_reason,status,timing_mode,total_ms,transpile_ms
0.058042,statevector,,1,,1.489958,cycle,,0.067334,,6,1,0.009042,,0.09525,,4096,,,cold_start,28.049876,26.33025
0.045625,statevector,335626240.0,1,3ec8e57b4a30f9afe33d26b4248107d7561d116a7d36216e2be2d2308b836527,1.142542,cycle,0.0,,m2:cycle:n6:p1:g2026:a0,6,1,0.008042,338034688.0,0.052167,0,4096,,OK,warm_single,21.343917,20.095541
0.019292,statevector,335626240.0,1,bb10332816bb6b75c128ce08a08b0df352e427ad22d28120420b2eaf1c15a85e,1.153458,cycle,0.0,,m2:cycle:n6:p1:g2026:a1,6,1,0.002083,338034688.0,0.048875,1,4096,,OK,warm_single,21.332832999999997,20.109125
0.037208,statevector,335626240.0,1,d32663e6b229d7edc851bb2fe572a2bcb1bb509ab7be3a2699844afae12eb44d,1.135167,cycle,16384.0,,m2:cycle:n6:p1:g2026:a2,6,1,0.005791,338051072.0,0.043333,2,4096,,OK,warm_single,21.252249,20.03075
0.0365,statevector,335626240.0,1,b015fde8b4fd3a4137e03ca6bd7c3f4fa96140ec46c08562af5cda70bfdef207,1.145834,cycle,16384.0,,m2:cycle:n6:p1:g2026:a3,6,1,0.005875,338067456.0,0.050542,3,4096,,OK,warm_single,21.368751,20.13
0.04175,statevector,335626240.0,1,2b9ca88b4d7bd89a7ab03196167cdcd37029df4dba3f1bf8475d6b97b91a6980,1.132708,cycle,0.0,,m2:cycle:n6:p1:g2027:a0,6,1,0.007375,338067456.0,0.048375,4,4096,,OK,warm_single,21.404458,20.17425
0.021167,statevector,335626240.0,1,a6a546fbb9fbb30c3c4196afa442553626f5b0bb01740ee27391e78b1cd2755a,1.193458,cycle,49152.0,,m2:cycle:n6:p1:g2027:a1,6,1,0.002333,338116608.0,0.048334,5,4096,,OK,warm_single,21.692375,20.427083
0.034958,statevector,335626240.0,1,50a80b8916c82fd9cc7f8f20104ef19f49f9f93f4e21947bfbff5bf9e8ffc08d,1.1155,cycle,0.0,,m2:cycle:n6:p1:g2027:a2,6,1,0.00575,338116608.0,0.051834,6,4096,,OK,warm_single,21.267042,20.059
0.031167,statevector,335626240.0,1,167bf714d6a6b32b01486c9122d870425c00c240caecff3ca9608c15712fc989,1.16875,cycle,0.0,,m2:cycle:n6:p1:g2027:a3,6,1,0.005375,338116608.0,0.043792,7,4096,,OK,warm_single,21.646376,20.397292
0.04425,statevector,335626240.0,1,fbbe5961b6fb83ef40c4843fea67c75f88636ed44990e3558a29fc424656d7c6,1.148959,cycle,16384.0,,m2:cycle:n6:p1:g2028:a0,6,1,0.008208,338132992.0,0.042584,8,4096,,OK,warm_single,21.787751000000004,20.54375
0.020958,statevector,335626240.0,1,0562a8d43a34a94d58d9ae3c075d48098b96bf3450bc5c2412231aeef3e4f7ea,1.153958,cycle,32768.0,,m2:cycle:n6:p1:g2028:a1,6,1,0.002667,338165760.0,0.048375,9,4096,,OK,warm_single,21.152707999999997,19.92675
0.052542,statevector,,1,,1.594792,cycle,,0.066459,,6,2,0.008375,,0.107458,,4096,,,cold_start,28.280167999999996,26.450542
0.040125,statevector,335675392.0,1,93a86b4fe586156c777a1cdd944052e44d96957848f270b0d9781f98c9082cd4,1.248792,cycle,16384.0,,m2:cycle:n6:p2:g2026:a0,6,2,0.007291,338018304.0,0.068,0,4096,,OK,warm_single,21.786124,20.421916
0.040791,statevector,335675392.0,1,af4573338a0fd6365b10e2a852400eb512fb4dd0aada85baa1913ac6bd0d4721,1.246041,cycle,32768.0,,m2:cycle:n6:p2:g2026:a1,6,2,0.007208,338051072.0,0.057292,1,4096,,OK,warm_single,21.861498999999995,20.510167
0.048084,statevector,335675392.0,1,43db8ed9ef06b3c0eab7c918dce17c92cb77398a5aa670152e60d6a09bfcbe63,1.288959,cycle,0.0,,m2:cycle:n6:p2:g2026:a2,6,2,0.00725,338051072.0,0.057875,2,4096,,OK,warm_single,21.706250999999995,20.304083
0.040292,statevector,335675392.0,1,39bd8ee1536a00343d6869795b774fe2a14982119582bdc88a7b96fcc1aa9d3d,1.274708,cycle,49152.0,,m2:cycle:n6:p2:g2026:a3,6,2,0.007167,338100224.0,0.055417,3,4096,,OK,warm_single,21.743250999999997,20.365667
0.04425,statevector,335675392.0,1,1dd348263a1342198cfcae8809c69321d6f178aab9b03bee9adda74e476000a7,1.255542,cycle,98304.0,,m2:cycle:n6:p2:g2027:a0,6,2,0.007083,338198528.0,0.05925,4,4096,,OK,warm_single,21.900625,20.5345
0.045917,statevector,335675392.0,1,a922d011846cc4b08bec6e90ae66bf7bd1f50ac9eb6b3d35ce90f15131e1d6ae,1.220291,cycle,16384.0,,m2:cycle:n6:p2:g2027:a1,6,2,0.0075,338214912.0,0.055459,5,4096,,OK,warm_single,21.883667,20.5545
0.04025,statevector,335675392.0,1,e7abb2615c4fc70e4a1e772d0f3372c2dc5a84ab1bc709b1f214645f2bcf4978,1.271125,cycle,0.0,,m2:cycle:n6:p2:g2027:a2,6,2,0.007083,338214912.0,0.06075,6,4096,,OK,warm_single,21.782875,20.403667
0.03975,statevector,335675392.0,1,4830d0d59aa4be15e176011b0fb725e9865fd84c265e33d2d682a3d83d911ea9,1.227916,cycle,0.0,,m2:cycle:n6:p2:g2027:a3,6,2,0.006875,338214912.0,0.056041,7,4096,,OK,warm_single,21.634915000000003,20.304333
0.042541,statevector,335675392.0,1,39181341a6b9f6afea882f8b35277718cf028f6badbbd025d372604f003c0b3c,1.210583,cycle,0.0,,m2:cycle:n6:p2:g2028:a0,6,2,0.007958,338214912.0,0.05475,8,4096,,OK,warm_single,21.695997999999996,20.380166
0.044709,statevector,335675392.0,1,15443e68e9ba5ddf4ca0b7a77e7501e24afb8902c76e771467373245038fd799,1.250459,cycle,0.0,,m2:cycle:n6:p2:g2028:a1,6,2,0.00825,338214912.0,0.066875,9,4096,,OK,warm_single,22.102709,20.732416
0.051708,statevector,,1,,1.655625,cycle,,0.070458,,6,3,0.008333,,0.115583,,4096,,,cold_start,28.836874,26.935167
0.041042,statevector,335757312.0,1,5e901bddc3d942a39b0ca3f1eb7d98a200398e3f5f2847baa6eca45eddf5b26d,1.293667,cycle,32768.0,,m2:cycle:n6:p3:g2026:a0,6,3,0.007208,338149376.0,0.075916,0,4096,,OK,warm_single,22.279082999999996,20.86125
0.040708,statevector,335757312.0,1,598e076b6e7922e379edbf62e98e2dfa8887070d26e40e3e06b269f2383e1029,1.309792,cycle,0.0,,m2:cycle:n6:p3:g2026:a1,6,3,0.007,338149376.0,0.070667,1,4096,,OK,warm_single,22.287209,20.859042
0.041209,statevector,335757312.0,1,fe332c31461318b60af08ea7dd9108f3590e82c9fec97cea3adaf776010233e4,1.289125,cycle,16384.0,,m2:cycle:n6:p3:g2026:a2,6,3,0.007541,338165760.0,0.069,2,4096,,OK,warm_single,22.133916999999997,20.727042
0.044292,statevector,335757312.0,1,4fdb3702816c868f5be3427b494dc2bd483e9aefc75f41dd851fc1c29cb146eb,1.318416,cycle,49152.0,,m2:cycle:n6:p3:g2026:a3,6,3,0.008083,338214912.0,0.072417,3,4096,,OK,warm_single,22.105290999999998,20.662083
0.042,statevector,335757312.0,1,4828f5dddd3651a5279dc9acb76ab05ee0aa953df713cab9fb96a3c990367fc6,1.265167,cycle,0.0,,m2:cycle:n6:p3:g2027:a0,6,3,0.007834,338214912.0,0.071208,4,4096,,OK,warm_single,21.960084,20.573875
0.046208,statevector,335757312.0,1,d9c54750a111d859c3b26f5dbee133d604d6bac3a55469093d111784a27bb39a,1.270542,cycle,16384.0,,m2:cycle:n6:p3:g2027:a1,6,3,0.008584,338231296.0,0.072042,5,4096,,OK,warm_single,22.047584999999998,20.650209
0.044417,statevector,335757312.0,1,bf0262d303d77bf6807c2965a54c3bc8411e311ac76a945a919d517cecddc55f,1.263458,cycle,16384.0,,m2:cycle:n6:p3:g2027:a2,6,3,0.008291,338247680.0,0.076834,6,4096,,OK,warm_single,21.526125,20.133125
0.040208,statevector,335757312.0,1,6c32f475d2e076bf414aaeee6cae72eb734bb698a8c8c1cf30b7b5ca49256331,1.236084,cycle,49152.0,,m2:cycle:n6:p3:g2027:a3,6,3,0.007084,338296832.0,0.076291,7,4096,,OK,warm_single,21.887126000000002,20.527459
0.045833,statevector,335757312.0,1,ee797e8a7c71807f3a29962cfb1bf2a5903052ced38ff12036ccf7a4383db8f8,1.263291,cycle,16384.0,,m2:cycle:n6:p3:g2028:a0,6,3,0.007708,338313216.0,0.06875,8,4096,,OK,warm_single,21.968165,20.582583
0.043584,statevector,335757312.0,1,dd8604d2cbf7af36c12061d1335211406a29ce92bb49ccc2c6d8fd0e0c82a436,1.241292,cycle,65536.0,,m2:cycle:n6:p3:g2028:a1,6,3,0.0075,338378752.0,0.07275,9,4096,,OK,warm_single,22.072501,20.707375
0.145083,statevector,,1,,1.891959,cycle,,0.06775,,8,1,0.028625,,0.100542,,4096,,,cold_start,28.128750000000004,25.894791
0.129125,statevector,335986688.0,1,273c6d994cb379e9051b7f5f24619f1ee861887be6fd30ae8b3f2ea2d9a39314,1.489708,cycle,16384.0,,m2:cycle:n8:p1:g2026:a0,8,1,0.028542,338378752.0,0.052666,0,4096,,OK,warm_single,22.044791,20.34475
0.139291,statevector,335986688.0,1,0f71bee2fcbe4d22aef6294f2d08ef635682b096c56096e1c9b52d6c627c0bf2,1.544792,cycle,0.0,,m2:cycle:n8:p1:g2026:a1,8,1,0.029542,338378752.0,0.061916,1,4096,,OK,warm_single,21.681958,19.906417
0.0955,statevector,335986688.0,1,8741132bd1c7ae1d2132bfee2dfac119db415bee1f32a3a1db477ff60a71dfa9,1.551333,cycle,0.0,,m2:cycle:n8:p1:g2026:a2,8,1,0.019875,338378752.0,0.052875,2,4096,,OK,warm_single,21.502125,19.782542
0.093166,statevector,335986688.0,1,8ff1c6408eac597158a392dcf8df453e240b60f6950b8f61f23101a3921d01cd,1.541291,cycle,49152.0,,m2:cycle:n8:p1:g2026:a3,8,1,0.019125,338427904.0,0.051875,3,4096,,OK,warm_single,21.550957,19.8455
0.131458,statevector,335986688.0,1,a93cfcc81528762a88064f0603b5d3fbf4671182fe78875bb84ad41dcc1a5f04,1.506459,cycle,0.0,,m2:cycle:n8:p1:g2027:a0,8,1,0.027584,338427904.0,0.052,4,4096,,OK,warm_single,21.846376,20.128875
0.130041,statevector,335986688.0,1,9df874e1d4f59e3c0da2967befbceced6ce3de11fb368d9733e65a0726f3b86b,1.512917,cycle,49152.0,,m2:cycle:n8:p1:g2027:a1,8,1,0.029833,338477056.0,0.052209,5,4096,,OK,warm_single,21.990333,20.265333
0.094458,statevector,335986688.0,1,e132215c9aa3f70ffa007c43a4c014a02069d4e96fcb59c2d2c4a61d3bfa3865,1.542291,cycle,16384.0,,m2:cycle:n8:p1:g2027:a2,8,1,0.019334,338493440.0,0.050959,6,4096,,OK,warm_single,21.479708,19.772666
0.105458,statevector,335986688.0,1,8a0b9ffe62e92cfad7106a6e30a8ba3bb2964a76796c698b79269250ab9235e7,1.504792,cycle,16384.0,,m2:cycle:n8:p1:g2027:a3,8,1,0.021708,338509824.0,0.051417,7,4096,,OK,warm_single,21.427291999999998,19.743917
0.135917,statevector,335986688.0,1,341d6f964a1ba97c87634613031cfa91281b0f85eadc494077acb613ca33003f,1.575459,cycle,32768.0,,m2:cycle:n8:p1:g2028:a0,8,1,0.032041,338542592.0,0.055375,8,4096,,OK,warm_single,22.031209,20.232417
0.128917,statevector,335986688.0,1,e7e920347ed999e838081e5af746587a43f5cf28b0b8169a68d8af66ae0c8e5e,1.543,cycle,16384.0,,m2:cycle:n8:p1:g2028:a1,8,1,0.02675,338558976.0,0.058875,9,4096,,OK,warm_single,21.457376,19.699834
0.141459,statevector,,1,,1.985667,cycle,,0.063833,,8,2,0.029166,,0.111042,,4096,,,cold_start,28.665834,26.334667
0.134583,statevector,335577088.0,1,8cc57a62662e855e86cc8c84a007bf51a4e0fc354398d23048851318afb2ca5d,1.636875,cycle,16384.0,,m2:cycle:n8:p2:g2026:a0,8,2,0.028083,338018304.0,0.073084,0,4096,,OK,warm_single,22.277333,20.404708
0.12675,statevector,335577088.0,1,f1361e5382f39679a567f4e2872d8503b4e1ed56f0b0606f08bbaca7e65c3862,1.616583,cycle,0.0,,m2:cycle:n8:p2:g2026:a1,8,2,0.029708,338018304.0,0.074583,1,4096,,OK,warm_single,22.184416,20.336792
0.121375,statevector,335577088.0,1,d7c7069caded36d62b886d9b32075eefc0a8df734bbbedf49914f74ea210274a,1.669583,cycle,49152.0,,m2:cycle:n8:p2:g2026:a2,8,2,0.026209,338067456.0,0.07675,2,4096,,OK,warm_single,22.634751,20.740834
0.119791,statevector,335577088.0,1,e63c945ceb501d58678f0f5d1feec379905b7ca2f9458fe452982fa6c232306c,1.628375,cycle,32768.0,,m2:cycle:n8:p2:g2026:a3,8,2,0.027292,338100224.0,0.071,3,4096,,OK,warm_single,22.653623999999997,20.807166
0.138084,statevector,335577088.0,1,82f424448fcbac7a071cb8f426b42c3a13e347b71615cd815485f881fe8b3f79,1.5955,cycle,0.0,,m2:cycle:n8:p2:g2027:a0,8,2,0.028333,338100224.0,0.076959,4,4096,,OK,warm_single,22.187542,20.348666
0.134042,statevector,335577088.0,1,805abd21f6e80a82590dd14c9bca8e4f3646f9762e8185c426bb376e270846d9,1.573666,cycle,32768.0,,m2:cycle:n8:p2:g2027:a1,8,2,0.030792,338132992.0,0.069041,5,4096,,OK,warm_single,22.095916,20.288375
0.116291,statevector,335577088.0,1,781a0f9a226a7273f11f4250eec4263893191ad61ab858b429c451105ef250b3,1.61225,cycle,16384.0,,m2:cycle:n8:p2:g2027:a2,8,2,0.025458,338149376.0,0.0755,6,4096,,OK,warm_single,22.130457000000003,20.300958
0.122375,statevector,335577088.0,1,b71bc0854128c663636a4d06e94617fdc2eb67d890ae7c5d8b16d9c1751d23b0,1.632625,cycle,16384.0,,m2:cycle:n8:p2:g2027:a3,8,2,0.025667,338165760.0,0.066541,7,4096,,OK,warm_single,22.218333,20.371125
0.126208,statevector,335577088.0,1,4564b95e38add658cd9d21b80f946a7a1238dd6a7f1bed2d0e99deb403a1ed64,1.604667,cycle,49152.0,,m2:cycle:n8:p2:g2028:a0,8,2,0.028,338214912.0,0.064958,8,4096,,OK,warm_single,22.020082999999996,20.19625
0.125333,statevector,335577088.0,1,69a6bac178a5ac38ea49dbd8e478b2598ff120ab631b291e487392ed18a7f8b5,1.633125,cycle,16384.0,,m2:cycle:n8:p2:g2028:a1,8,2,0.026792,338231296.0,0.069417,9,4096,,OK,warm_single,22.581500000000002,20.726833
0.143209,statevector,,1,,2.082334,cycle,,0.063666,,8,3,0.03125,,0.129709,,4096,,,cold_start,28.743167999999997,26.293
0.133916,statevector,335888384.0,1,19dd7b05a50b117e8f554ec7a9bc7ff9e61caab3011521d9114ae5ac108d9201,1.734542,cycle,32768.0,,m2:cycle:n8:p3:g2026:a0,8,3,0.02875,338395136.0,0.094625,0,4096,,OK,warm_single,23.112291,21.120458
0.123709,statevector,335888384.0,1,8d26bee0793a790738fe24cae5eb47ee307ba38fd887abf05e623dd0c57e2b92,1.698583,cycle,16384.0,,m2:cycle:n8:p3:g2026:a1,8,3,0.027416,338411520.0,0.087375,1,4096,,OK,warm_single,22.878208,20.941125
0.125417,statevector,335888384.0,1,d4ab5d9088bfa814353cecb67e77afdc0adec2dc4bba16057ab56dc6856ee1fc,1.710833,cycle,0.0,,m2:cycle:n8:p3:g2026:a2,8,3,0.02625,338411520.0,0.088,2,4096,,OK,warm_single,22.271916,20.321416
0.128875,statevector,335888384.0,1,e08c0813fe7923dfc84672824558da013cf11fe5bf99b3e68b39d03a7adecdd0,1.661833,cycle,49152.0,,m2:cycle:n8:p3:g2026:a3,8,3,0.029708,338460672.0,0.082458,3,4096,,OK,warm_single,22.247333,20.344459
0.133166,statevector,335888384.0,1,8924a31893b224c7dbf3c1247dc0ebfd7dc651e22b3522ad1f573946991e9977,1.778,cycle,32768.0,,m2:cycle:n8:p3:g2027:a0,8,3,0.028,338493440.0,0.093875,4,4096,,OK,warm_single,22.938,20.904959
0.125459,statevector,335888384.0,1,6c977049597d074183686c7d896426cd4e433800aa7d9acdfe35174b4baf5486,1.736167,cycle,32768.0,,m2:cycle:n8:p3:g2027:a1,8,3,0.027375,338526208.0,0.091125,5,4096,,OK,warm_single,22.973084999999998,20.992959
0.137834,statevector,335888384.0,1,9697d60a88b7e35aba8e4be0a4df27218b2660e42ec3d891aead00831738fc51,1.837208,cycle,0.0,,m2:cycle:n8:p3:g2027:a2,8,3,0.034208,338526208.0,0.082291,6,4096,,OK,warm_single,22.978166,20.886625
