available_host_memory_bytes,backend,expected_overhead_factor,graph_family,n_qubits,p,predicted_state_payload_bytes,projected_peak_bytes,projected_seconds,reason,status
5732057088,statevector,4.0,cycle,6,,1024,4096.0,,,RUN
5732057088,statevector,4.0,cycle,8,,4096,16384.0,,,RUN
5732057088,statevector,4.0,cycle,10,,16384,65536.0,,,RUN
5732057088,statevector,4.0,cycle,12,,65536,262144.0,,,RUN
5732057088,statevector,4.0,cycle,14,,262144,1048576.0,,,RUN
5732057088,statevector,4.0,cycle,16,,1048576,4194304.0,,,RUN
5732057088,statevector,4.0,cycle,18,,4194304,16777216.0,,,RUN
5732057088,statevector,4.0,cycle,20,,16777216,67108864.0,,,RUN
5732057088,statevector,4.0,random_3_regular,6,,1024,4096.0,,,RUN
5732057088,statevector,4.0,random_3_regular,8,,4096,16384.0,,,RUN
5732057088,statevector,4.0,random_3_regular,10,,16384,65536.0,,,RUN
5732057088,statevector,4.0,random_3_regular,12,,65536,262144.0,,,RUN
5732057088,statevector,4.0,random_3_regular,14,,262144,1048576.0,,,RUN
5732057088,statevector,4.0,random_3_regular,16,,1048576,4194304.0,,,RUN
5732057088,statevector,4.0,random_3_regular,18,,4194304,16777216.0,,,RUN
5732057088,statevector,4.0,random_3_regular,20,,16777216,67108864.0,,,RUN
,matrix_product_state,,random_3_regular,20,2,,,,,WORKER_FAILED_1
,matrix_product_state,,random_3_regular,20,3,,,,,WORKER_FAILED_1
5517754368,statevector,4.0,cycle,22,1,67108864,268435456.0,0.341042836,,RUN
5517754368,statevector,4.0,cycle,24,1,268435456,1073741824.0,1.0984205000000002,,RUN
5517754368,statevector,4.0,cycle,26,1,1073741824,4294967296.0,4.369211836000001,,SKIPPED_RESOURCE_GUARD
5517754368,statevector,4.0,cycle,22,2,67108864,268435456.0,0.621423828,,RUN
5517754368,statevector,4.0,cycle,24,2,268435456,1073741824.0,2.3143059959999994,,RUN
5517754368,statevector,4.0,cycle,26,2,1073741824,4294967296.0,12.352533668000001,,SKIPPED_RESOURCE_GUARD
5517754368,statevector,4.0,cycle,22,3,67108864,268435456.0,0.8628506679999999,,RUN
5517754368,statevector,4.0,cycle,24,3,268435456,1073741824.0,4.506781171999999,,RUN
5517754368,statevector,4.0,cycle,26,3,1073741824,4294967296.0,18.386397999999996,,SKIPPED_RESOURCE_GUARD
5517754368,statevector,4.0,random_3_regular,22,1,67108864,268435456.0,0.458878664,,RUN
5517754368,statevector,4.0,random_3_regular,24,1,268435456,1073741824.0,2.327628828,,RUN
5517754368,statevector,4.0,random_3_regular,26,1,1073741824,4294967296.0,9.257049327999999,,SKIPPED_RESOURCE_GUARD
5517754368,statevector,4.0,random_3_regular,22,2,67108864,268435456.0,0.700649164,,RUN
5517754368,statevector,4.0,random_3_regular,24,2,268435456,1073741824.0,3.789077668,,RUN
5517754368,statevector,4.0,random_3_regular,26,2,1073741824,4294967296.0,11.012387164,,SKIPPED_RESOURCE_GUARD
5517754368,statevector,4.0,random_3_regular,22,3,67108864,268435456.0,0.910876168,,RUN
5517754368,statevector,4.0,random_3_regular,24,3,268435456,1073741824.0,3.873831168,,RUN
5517754368,statevector,4.0,random_3_regular,26,3,1073741824,4294967296.0,21.252029004,,SKIPPED_RESOURCE_GUARD
,matrix_product_state,,cycle,22,1,,,0.2951226660000001,,RUN
,matrix_product_state,,cycle,24,1,,,0.38616474999999995,,RUN
,matrix_product_state,,cycle,26,1,,,0.42312358200000005,,RUN
,matrix_product_state,,cycle,28,1,,,0.45704733399999997,,RUN
,matrix_product_state,,cycle,30,1,,,0.49169941800000005,,RUN
,matrix_product_state,,cycle,32,1,,,0.5239814199999999,,RUN
,matrix_product_state,,cycle,22,2,,,0.662358502,,RUN
,matrix_product_state,,cycle,24,2,,,0.9686504159999999,,RUN
,matrix_product_state,,cycle,26,2,,,1.0575375,,RUN
,matrix_product_state,,cycle,28,2,,,1.19695325,,RUN
,matrix_product_state,,cycle,30,2,,,1.2854378340000001,,RUN
,matrix_product_state,,cycle,32,2,,,1.445780082,,RUN
,matrix_product_state,,cycle,22,3,,,5.492369333999999,,RUN
,matrix_product_state,,cycle,24,3,,,7.662934,,RUN
,matrix_product_state,,cycle,26,3,,,8.92467825,,RUN
,matrix_product_state,,cycle,28,3,,,10.356123332,,RUN
,matrix_product_state,,cycle,30,3,,,11.64661875,,RUN
,matrix_product_state,,cycle,32,3,,,12.940180666,,RUN
,matrix_product_state,,random_3_regular,22,1,,,5.998230414,,RUN
,matrix_product_state,,random_3_regular,24,1,,,17.585731415999998,,RUN
,matrix_product_state,,random_3_regular,26,1,,,7.718286419999998,,RUN
,matrix_product_state,,random_3_regular,28,1,,,11.169795332,,RUN
,matrix_product_state,,random_3_regular,30,1,,,47.514562582,,RUN
,matrix_product_state,,random_3_regular,30,1,,,,,WORKER_FAILED_1
,matrix_product_state,,random_3_regular,22,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,24,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,26,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,28,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,30,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,32,2,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,22,3,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
,matrix_product_state,,random_3_regular,24,3,,,,base_grid_did_not_reach_n20,SKIPPED_TIMEOUT_PROJECTION
